fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.2,0.47,0.19,8.3,0.029,24,142,0.992,3.22,0.45,12.3,6
6.8,0.38,0.29,9.9,0.037,40,146,0.99326,3.11,0.37,11.5,6
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,6
5.8,0.24,0.39,1.5,0.054,37,158,0.9932,3.21,0.52,9.3,6
7,0.21,0.42,5.3,0.037,36,123,0.99321,3.14,0.52,10.9,6
6.8,0.14,0.18,1.4,0.047,30,90,0.99164,3.27,0.54,11.2,6
7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,6
7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5,4
5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,5
7.4,0.33,0.44,7.6,0.05,40,227,0.99679,3.12,0.52,9,5
8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8
6.1,0.37,0.46,12,0.042,61,210,0.997,3.17,0.59,9.7,6
7.3,0.26,0.33,11.8,0.057,48,127,0.99693,3.1,0.55,10,6
6.7,0.24,0.31,2.3,0.044,37,113,0.99013,3.29,0.46,12.9,6
6.1,0.34,0.21,5,0.042,17,133,0.99373,3.02,0.53,9.4,5
8.3,0.19,0.49,1.2,0.051,11,137,0.9918,3.06,0.46,11,6
7.3,0.35,0.67,8.3,0.053,10,100,0.9959,3.19,0.5,10.9,5
6.4,0.25,0.33,1.7,0.037,35,113,0.99164,3.23,0.66,10.6,6
6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,6
7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6
6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,6
7.1,0.25,0.31,2.3,0.05,32,156,0.9914,3.14,0.51,11.4,6
6.6,0.17,0.26,7.4,0.052,45,128,0.99388,3.16,0.37,10,6
6.4,0.18,0.48,4,0.186,64,150,0.9945,3.06,0.4,9.3,5
8,0.34,0.49,9,0.033,39,180,0.9936,3.13,0.38,12.3,8
5.5,0.315,0.38,2.6,0.033,10,69,0.9909,3.12,0.59,10.8,6
6.5,0.36,0.38,10.2,0.028,20,82,0.99274,3.1,0.43,12.1,7
6.9,0.29,0.41,7.8,0.046,52,171,0.99537,3.12,0.51,9.6,5
